,0
0,29.504009620893186
1,27.401818059207095
2,25.53964960605938
3,23.96465778626677
4,22.538424586422362
5,21.248368103797297
6,20.249218979384327
7,19.414060926648236
8,18.652718066430943
9,18.02008451595804
10,17.480036667241414
11,16.99102971581014
12,16.538041192129405
13,16.200040592908355
14,15.910682600797035
15,15.756731250657355
16,15.762124273944988
17,15.76649442344553
18,15.764044592314315
19,15.785748275738847
20,15.864979183625268
21,15.965941078944855
22,16.064307434263785
23,16.151883865619777
24,16.27616327686099
25,16.38959624031413
26,16.495745946016054
27,16.588538044203872
28,16.667497497583987
29,16.73604016137505
30,16.806448949451372
31,16.896362595642994
32,16.977715198480425
33,17.05402505980887
34,17.149546289828688
35,17.258778396915694
36,17.376831599255365
37,17.494083560171468
38,17.616865912563064
39,17.759154416805742
40,17.8999675566102
41,18.053875658783653
42,18.208876162861937
43,18.360817817736642
44,18.54000799326201
45,18.716198337044005
46,18.899732222072938
47,19.08892728119693
48,19.276953248451914
49,19.47368026394158
50,19.667438049279845
51,19.865597769044037
52,20.058227514366067
53,20.245521727306304
54,20.429411855790434
55,20.609526620819537
56,20.802210615780773
57,21.034438992277007
58,21.27511016468216
59,21.515140752758786
60,21.763090607760688
61,22.011130332816567
62,22.25932336100783
63,22.51391100326054
64,22.775497081715077
65,23.03960128509909
66,23.334978176956557
67,23.647943194611237
68,23.964758114679785
69,24.285232284748787
70,24.60916648185095
71,24.946766952919923
72,25.288190530075383
73,25.633640482405866
74,25.999154767193367
75,26.38116712638233
76,26.76596316714492
77,27.15553809941852
78,27.553054194882595
79,27.95981919744054
80,28.37497935734365
81,28.796107427101287
82,29.223146804253737
83,29.65604522080461
84,30.101361599778656
85,30.554580475193394
86,31.014432754132976
87,31.481570274721353
88,31.959056537077938
89,32.44333685306546
90,32.93435276471201
91,33.441994392788445
92,33.96484459563265
93,34.49931396212162
94,35.049407174786246
95,35.61344297294036
96,36.18979171288303
97,36.796451058924674
98,37.41738267524913
99,38.04779341545665
100,38.68786807450682
101,39.33777346049596
102,39.99766176922505
103,40.695173079051195
104,41.406808511426114
105,42.13166718656858
106,42.86999182678204
107,43.62201797862826
108,44.38797746855111
109,45.16810160288817
110,45.964723816291354
111,46.77705348074194
112,47.60498662022935
113,48.45131713945379
114,49.3303896448738
115,50.26214716217165
116,51.223090504957945
117,52.201590181213405
118,53.19778054971498
119,54.221081240328104
120,55.279369832373455
121,56.35821227443721
122,57.45729759315786
123,58.578001093159365
124,59.719927768593486
125,60.895779952182416
126,62.08863847579501
127,63.29848421007248
128,64.52528565377357
129,65.76899995517924
130,67.07164814778784
131,68.4059859930959
132,69.81422893783315
133,71.23637158521089
134,72.68760778632742
135,74.15858315022966
136,75.6428834638977
137,77.14315817783616
138,78.65807727442461
139,80.18715071643261
140,81.73036786980516
141,83.28821132903646
142,84.8645555407161
143,86.4544310168789
144,88.0623834386878
145,89.6861102791472
146,91.32398136590643
147,92.98973241635255
148,94.67599349846371
149,96.3725865142649
150,98.07949898728741
151,99.7966871186516
152,101.52407545950577
153,103.2615567880217
154,105.00899216483063
155,106.76621114241517
156,108.53301210560188
157,110.30916272190751
158,112.09440048207006
159,113.8884333126328
160,115.6909402439387
161,117.50157211832723
162,119.32322372606694
163,121.15905396179258
164,123.00322888464558
165,124.8554384878053
166,126.71536323737521
167,128.58488827179613
168,130.47987951293538
169,132.38634992993266
170,134.32767134829024
171,136.29660588527054
172,138.27626324712287
173,140.2661100844525
174,142.26561960022926
175,144.27607234172302
176,146.29716713400123
177,148.32628854796823
178,150.362997849742
179,152.40685950320858
180,154.4574416448842
181,156.5143165533376
182,158.57706110177654
183,160.64525718431582
184,162.71849210815327
185,164.79635894539572
186,166.87922450508546
187,169.0008574750835
188,171.1319587997049
189,173.26774160870687
190,175.41003566994888
191,177.56071488533476
192,179.71352796572023
193,181.8680475080474
194,184.02384673595648
195,186.1805017421091
196,188.3498503419342
197,190.5308967633455
198,192.7097462602412
199,194.93267893927367
200,197.1726553749501
201,199.41821841907438
202,201.67002187059205
203,203.92872763813233
204,206.19500495429233
205,208.4695295857923
206,210.75298305210924
207,213.0460518629079
208,215.3494267826257
209,217.66380212888865
210,219.98987511000007
211,222.34693341107666
212,224.71731808011222
213,227.1014625175237
214,229.50041291885003
215,231.9151912473961
216,234.34679646058132
217,236.79620593138765
218,239.26437704021293
219,241.7522489135166
220,244.26074428680442
221,246.79077147070896
222,249.34322640017965
223,251.91899474806908
224,254.51895408569146
225,257.1439760742092
226,259.79492867197837
227,262.4726783442257
228,265.17809226264836
229,267.91204048370685
230,270.67539809551266
231,273.46904732430403
232,276.29387959253603
233,279.1858068910417
234,282.1097522774096
235,285.066973098286
236,288.0587551617613
237,291.08641387442736
238,294.15129611955194
239,297.25478188400103
240,300.39828565808955
241,303.5832576305335
242,306.8111846988571
243,310.19039645263746
244,313.637079940516
245,317.137936118418
246,320.6939982078285
247,324.33629040133667
248,328.0613314566873
249,331.8526924170418
250,335.71171730597416
251,339.6397438671697
252,343.6381000008515
253,347.7262885404254
254,351.95955479294594
255,356.2796514415769
256,360.6727440598241
257,365.13956938267336
258,369.6813016170425
259,374.2990672030319
260,378.9939505567626
261,383.77094785979847
262,388.63061001814657
263,393.571990362719
264,398.5961601606082
265,403.7041579182114
266,408.8969936249186
267,414.17565285647
268,419.54110075061976
269,424.99428586478155
270,430.54566019856713
271,436.19011761526275
272,441.9263902272187
273,447.7598694728183
274,453.69322465580797
275,459.721754626532
276,465.8460579814935
277,472.0667400496582
278,478.3844159527125
279,484.79971350575664
280,491.3132759542206
281,497.9257645444899
282,504.63786092723
283,511.4502693937314
284,518.3637189467606
285,525.3789652084267
286,532.4967921684508
287,539.7180137769833
288,547.0434753867578
289,554.4740550499012
290,562.0106646751683
291,569.6542510517173
292,577.4057967458195
293,585.2663208771042
294,593.2368797810781
295,601.3185675647433
296,609.5125165621698
297,617.8198976968672
298,626.241920757747
299,634.7798345953796
300,643.4349272451283
301,652.2085259836024
302,661.1019973246997
303,670.116746961321
304,679.2557687589559
305,688.5226135613052
306,697.9176927675855
307,707.4424621589576
308,717.0984096022131
309,726.8870117877616
310,736.8002945831383
311,746.8362244745463
312,756.9960020294121
313,767.2808948226988
314,777.7253807473937
315,788.2998812406854
316,799.0035185210744
317,809.8378370446526
318,820.8044398572475
319,831.9049878220724
320,843.1411990438957
321,854.5148484525572
322,866.0277675141062
323,877.681844042681
324,889.4790220905525
325,901.4213018975565
326,913.5107398844907
327,925.749448677986
328,938.1395971569218
329,950.6834105126786
330,963.3831703174383
331,976.241214596379
332,989.2599379010145
333,1002.4417913821007
334,1015.7892828615197
335,1029.3049769033528
336,1042.9914948850233
337,1056.8525077035351
338,1070.893135020515
339,1085.1152267738385
340,1099.5217372153945
341,1114.1156631215672
342,1128.9096295127288
343,1143.9033367636453
344,1159.0926092277728
345,1174.4808422165652
346,1190.0714886879782
347,1205.86805923983
348,1221.8741221612308
349,1238.0933035440498
350,1254.5292874560273
351,1271.1858161767968
352,1288.0666904977131
353,1305.1757700860458
354,1322.5169739137739
355,1340.0942807509116
356,1357.9117297230246
357,1375.9734209323406
358,1394.283516141649
359,1412.8462395199815
360,1431.6658784489146
361,1450.7467843881936
362,1470.0933737992766
363,1489.7101291253
364,1509.601599825929
365,1529.7724034654912
366,1550.2272268527931
367,1570.9708272310033
368,1592.0080335160055
369,1613.3437475816381
370,1634.9829455902975
371,1656.930679367396
372,1679.1920778182498
373,1701.7723483860175
374,1724.676778549382
375,1747.9107373587317
376,1771.4796770096823
377,1795.3891344528492
378,1819.6447330388535
379,1844.2521841976304
380,1869.2172891511773
381,1894.5474755919822
382,1920.251259573481
383,1946.330329896684
384,1972.7907553924395
385,1999.6386993422452
386,2026.8804226806683
387,2054.522287064813
388,2082.5707578264114
389,2111.0324068208615
390,2139.9139151863587
391,2169.2220760251807
392,2198.9637970181857
393,2229.1461029826523
394,2259.7761383827483
395,2290.8611698011036
396,2322.408588379272
397,2354.425912234158
398,2386.920788856919
399,2419.900997500255
400,2453.3744515594894
401,2487.3492009524057
402,2521.8334345023272
403,2556.8354823285754
404,2592.3638182480677
405,2628.4270621914993
406,2665.033982637253
407,2702.1934990659197
408,2739.9146844380894
409,2778.206767697826
410,2817.079136304073
411,2856.5413387920503
412,2896.6030873665536
413,2937.2742605289313
414,2978.564905739382
415,3020.4852421161254
416,3063.045663172882
417,3106.256739596045
418,3150.1292220628134
419,3194.6740441015363
420,3239.9023249954207
421,3285.8253727307692
422,3332.4546869907876
423,3379.8019621960575
424,3427.879090592686
425,3476.698165389146
426,3526.271483942783
427,3576.6115509969727
428,3627.7310819699014
429,3679.6430062959016
430,3732.3604708203184
431,3785.896843248839
432,3840.265715652242
433,3895.4809080275154
434,3951.5564719162894
435,4008.506694081554
436,4066.3461002436034
437,4125.089458876195
438,4184.751785063885
439,4245.348344421524
440,4306.8946570769085
441,4369.40650171758
442,4432.899919702792
443,4497.391219241636
444,4562.896979638391
445,4629.434055606096
446,4697.019581649416
447,4765.6709765178475
448,4835.4059477303335
449,4906.24249617237
450,4978.198920766682
451,5051.293823218575
452,5125.546112837077
453,5200.975011432982
454,5277.600058294935
455,5355.441115244703
456,5434.518371772791
457,5514.852350255564
458,5596.463911255063
459,5679.374258902717
460,5763.604946368147
461,5849.177881414274
462,5936.168794679458
463,6024.555854471071
464,6114.353189943869
465,6205.583593617563
466,6298.336334264947
467,6392.68934182229
468,6488.547244225572
469,6585.934729172963
470,6684.876848250607
471,6785.39903071837
472,6887.527096857993
473,6991.28727091633
474,7096.706193673852
475,7203.810934666364
476,7312.62900408608
477,7423.188364386587
478,7535.517441614896
479,7649.64513649262
480,7765.600835267306
481,7883.414420354122
482,8003.116280787282
483,8124.737322499993
484,8248.308978451045
485,8373.863218615665
486,8501.432559857722
487,8631.05007569991
488,8762.749406008088
489,8896.564766605501
490,9032.530958832232
491,9170.683379064743
492,9311.058028210024
493,9453.731354970487
494,9598.719007353004
495,9746.056437081037
496,9895.78393416225
497,10047.942403889445
498,10202.57337684814
499,10359.719019358743
