,0
0,28.265232616253325
1,28.170409207611065
2,28.168433656651555
3,28.17178905653678
4,28.17190269269423
5,28.173017781973414
6,28.171322632530337
7,28.171072110783722
8,28.169088197669584
9,28.16706136899698
10,28.17091751888371
11,28.16893173552792
12,28.1669293670111
13,28.16492373003388
14,28.162925140941
15,28.16106147376243
16,28.159205935354578
17,28.163212763648147
18,28.161972957318607
19,28.160099760926915
20,28.15886851985819
21,28.15718664393932
22,28.156309626485747
23,28.155152913874083
24,28.153940972668067
25,28.154151129265962
26,28.153763513720367
27,28.15246835223216
28,28.151210345051926
29,28.149990485206217
30,28.148808988194933
31,28.147665837370866
32,28.14656081867093
33,28.145736098579427
34,28.14471814902439
35,28.14373788613874
36,28.142979229417808
37,28.1421030365517
38,28.141889565706176
39,28.141529968012865
40,28.140865003479433
41,28.140131073865298
42,28.13942285527216
43,28.13873979862868
44,28.138081333232627
45,28.137446874043682
46,28.137022661609585
47,28.13845756513999
48,28.13790058249223
49,28.137330259805402
50,28.13677926625979
51,28.136247240934537
52,28.13573380934078
53,28.13523858539462
54,28.134761173206947
55,28.13430116873201
56,28.133858161288348
57,28.1340013887346
58,28.133985836294396
59,28.13375829509182
60,28.133404945798993
61,28.133063824419978
62,28.13273476124906
63,28.132417545499415
64,28.132240834723014
65,28.13196221365065
66,28.131694289255265
67,28.13143681268809
68,28.13118950791899
69,28.13095209854087
70,28.130724308228867
71,28.130648568286276
72,28.130444536759704
73,28.130248475344633
74,28.130060152970596
75,28.12987934068137
76,28.129984532003515
77,28.13003380306264
78,28.129859540294206
79,28.129709096153157
80,28.12954936481359
81,28.129396729254935
82,28.129250952256264
83,28.12911179964559
84,28.12897904055327
85,28.128852447638053
86,28.128731797295252
87,28.128616869847022
88,28.128507449715038
89,28.128403325575693
90,28.128304290498143
91,28.12821014206567
92,28.128120682480688
93,28.12803571865402
94,28.1279550622788
95,28.127878529889887
96,28.127805942909056
97,28.127737127676912
98,28.127671915472
99,28.127610142517856
100,28.127551649978745
101,28.127496283944627
102,28.12744389540619
103,28.12739434022057
104,28.12734747906839
105,28.127303177402897
106,28.127261305391755
107,28.127221737852174
108,28.127184354179946
109,28.12714903827308
110,28.127115678450547
111,28.127084167366636
112,28.127054401921576
113,28.1270262831689
114,28.126999716219878
115,28.126974610145734
