,0
0,29.504009620893186
1,27.560579143990342
2,25.786917913009454
3,24.20166989108965
4,22.795446413182916
5,21.49869035995316
6,20.293583749578048
7,19.198463561235606
8,18.3214416666753
9,17.530563742224963
10,16.778641233523654
11,16.108377087337082
12,15.50917354915013
13,14.966824039926387
14,14.461159547828123
15,13.988979158046122
16,13.539133639515745
17,13.165007843493976
18,12.802058851713802
19,12.50758134679005
20,12.270816544842244
21,12.120482308389477
22,11.974369419835805
23,11.825937051809069
24,11.677501180385718
25,11.536644258637562
26,11.431191461941731
27,11.337878727043428
28,11.250179363972425
29,11.162459749719318
30,11.070982932457161
31,10.983041140586618
32,10.909418189537964
33,10.830368781902196
34,10.7497005141204
35,10.665363561125188
36,10.576350309006363
37,10.483003579719501
38,10.38596631922951
39,10.287366182148576
40,10.192651620055805
41,10.106905368743458
42,10.018792953280492
43,9.928647593602793
44,9.838339008179148
45,9.754686296282202
46,9.68010367206887
47,9.606544772002982
48,9.535838442825636
49,9.464441195743232
50,9.396185958225981
51,9.330291280166723
52,9.270407215073783
53,9.20981369902886
54,9.15178596371018
55,9.096972513009419
56,9.041689623716252
57,8.985224018287898
58,8.93597009852709
59,8.888338760016332
60,8.840506997397505
61,8.794669521362161
62,8.750620082800124
63,8.705965528037524
64,8.661363196484213
65,8.619399828189621
66,8.576024838871447
67,8.53321091689769
68,8.490467546627798
69,8.446156353561314
70,8.400368142309162
71,8.353347138723585
72,8.305476069157383
73,8.256652438426412
74,8.20765652490306
75,8.16731325261651
76,8.134619944281646
77,8.10255782646069
78,8.069648875382898
79,8.037377864362378
80,8.005938695536148
81,7.974058704086773
82,7.9417632737468615
83,7.909075606065042
84,7.878220690385936
85,7.848142427421351
86,7.817610895601632
87,7.788898231656473
88,7.767519560429209
89,7.7480782956928085
90,7.728631990472776
91,7.709149635898474
92,7.689600735762614
93,7.669955537136131
94,7.651741718049439
95,7.634329959770965
96,7.616709803556022
97,7.59884752641228
98,7.582605202555524
99,7.570408285783275
100,7.55853190809914
101,7.54622458899774
102,7.5335032383242195
103,7.521305494317795
104,7.509320995741386
105,7.497860751404912
106,7.487046964246678
107,7.476229992241167
108,7.46539425696366
109,7.454525028037049
110,7.443608584937043
111,7.432825353485885
112,7.423253115366939
113,7.413681377107813
114,7.4040994578979715
115,7.394497432571212
116,7.385030336205892
117,7.376113994438832
118,7.3671557515793
119,7.3581409397289645
